,date,PRCP,TMAX,TMIN
0,2024-01-01,0.0,38.0,30.0
1,2024-01-02,0.0,49.0,31.0
2,2024-01-03,0.0,45.0,24.0
3,2024-01-04,0.0,42.0,28.0
4,2024-01-05,0.0,43.0,18.0
5,2024-01-06,0.94,53.0,32.0
6,2024-01-07,0.0,47.0,35.0
7,2024-01-08,0.01,46.0,26.0
8,2024-01-09,3.98,52.0,34.0
9,2024-01-10,0.0,44.0,29.0
10,2024-01-11,0.0,57.0,24.0
11,2024-01-12,0.8,44.0,27.0
12,2024-01-13,0.0,44.0,28.0
13,2024-01-14,0.0,53.0,21.0
14,2024-01-15,0.0,43.0,32.0
15,2024-01-16,0.03,40.0,14.0
16,2024-01-17,0.0,35.0,10.0
17,2024-01-18,0.0,48.0,16.0
18,2024-01-19,0.0,38.0,19.0
19,2024-01-20,0.0,21.0,11.0
20,2024-01-21,0.0,40.0,11.0
21,2024-01-22,0.0,50.0,16.0
22,2024-01-23,0.1,47.0,35.0
23,2024-01-24,0.19,57.0,43.0
24,2024-01-25,1.5,64.0,56.0
25,2024-01-26,0.0,71.0,53.0
26,2024-01-27,1.13,54.0,44.0
27,2024-01-28,0.08,57.0,40.0
28,2024-01-29,0.01,46.0,34.0
29,2024-01-30,0.01,51.0,25.0
30,2024-01-31,0.01,45.0,34.0
31,2024-02-01,0.0,60.0,26.0
32,2024-02-02,0.0,64.0,34.0
33,2024-02-03,0.0,54.0,31.0
34,2024-02-04,0.0,51.0,27.0
35,2024-02-05,0.0,63.0,36.0
36,2024-02-06,0.0,61.0,27.0
37,2024-02-07,0.0,60.0,26.0
38,2024-02-08,0.0,58.0,27.0
39,2024-02-09,0.0,58.0,40.0
40,2024-02-10,0.01,72.0,43.0
41,2024-02-11,0.28,61.0,52.0
42,2024-02-12,0.62,57.0,51.0
43,2024-02-13,0.0,52.0,37.0
44,2024-02-14,0.0,59.0,29.0
45,2024-02-15,0.0,66.0,28.0
46,2024-02-16,0.0,61.0,38.0
47,2024-02-17,0.0,54.0,28.0
48,2024-02-18,0.0,50.0,25.0
49,2024-02-19,0.0,58.0,30.0
50,2024-02-20,0.0,57.0,24.0
51,2024-02-21,0.0,57.0,26.0
52,2024-02-22,0.0,65.0,32.0
53,2024-02-23,0.11,59.0,46.0
54,2024-02-24,0.01,52.0,33.0
55,2024-02-25,0.0,59.0,25.0
56,2024-02-26,0.0,71.0,36.0
57,2024-02-27,0.0,62.0,52.0
58,2024-02-28,0.21,69.0,35.0
59,2024-02-29,0.0,50.0,30.0
60,2024-03-01,1.63,42.0,36.0
61,2024-03-02,0.03,67.0,41.0
62,2024-03-03,0.0,68.0,43.0
63,2024-03-04,0.0,69.0,42.0
64,2024-03-05,0.08,68.0,48.0
65,2024-03-06,1.11,56.0,50.0
66,2024-03-07,0.0,70.0,52.0
67,2024-03-08,0.19,60.0,52.0
68,2024-03-09,0.7,61.0,47.0
69,2024-03-10,0.0,51.0,38.0
70,2024-03-11,0.0,60.0,35.0
71,2024-03-12,0.0,70.0,29.0
72,2024-03-13,0.0,72.0,35.0
73,2024-03-14,0.0,78.0,38.0
74,2024-03-15,0.54,66.0,53.0
75,2024-03-16,0.0,72.0,53.0
76,2024-03-17,0.0,68.0,51.0
77,2024-03-18,0.0,51.0,31.0
78,2024-03-19,0.0,60.0,26.0
79,2024-03-20,0.0,69.0,33.0
80,2024-03-21,0.0,69.0,38.0
81,2024-03-22,0.84,60.0,43.0
82,2024-03-23,0.17,58.0,39.0
83,2024-03-24,0.0,60.0,33.0
84,2024-03-25,0.0,56.0,34.0
85,2024-03-26,0.56,50.0,44.0
86,2024-03-27,0.03,69.0,46.0
87,2024-03-28,0.0,58.0,45.0
88,2024-03-29,0.0,66.0,31.0
89,2024-03-30,0.0,76.0,36.0
90,2024-03-31,0.0,79.0,44.0
91,2024-04-01,0.0,78.0,50.0
92,2024-04-02,0.0,84.0,63.0
93,2024-04-03,0.35,67.0,40.0
94,2024-04-04,0.0,50.0,39.0
95,2024-04-05,0.0,50.0,36.0
96,2024-04-06,0.0,58.0,37.0
97,2024-04-07,0.0,68.0,31.0
98,2024-04-08,0.0,75.0,45.0
99,2024-04-09,0.44,62.0,54.0
100,2024-04-10,0.07,66.0,53.0
101,2024-04-11,0.44,69.0,53.0
102,2024-04-12,0.0,62.0,46.0
103,2024-04-13,0.0,69.0,46.0
104,2024-04-14,0.0,82.0,40.0
105,2024-04-15,0.02,84.0,49.0
106,2024-04-16,0.0,82.0,52.0
107,2024-04-17,0.0,75.0,55.0
108,2024-04-18,0.0,84.0,50.0
109,2024-04-19,0.2,80.0,56.0
110,2024-04-20,0.01,68.0,56.0
111,2024-04-21,0.45,57.0,43.0
112,2024-04-22,0.0,62.0,40.0
113,2024-04-23,0.0,71.0,34.0
114,2024-04-24,0.0,69.0,44.0
115,2024-04-25,0.0,73.0,42.0
116,2024-04-26,0.07,57.0,48.0
117,2024-04-27,0.0,72.0,52.0
118,2024-04-28,0.0,75.0,58.0
119,2024-04-29,0.0,78.0,55.0
120,2024-04-30,0.85,74.0,53.0
121,2024-05-01,0.0,80.0,51.0
122,2024-05-02,0.0,81.0,50.0
123,2024-05-03,0.01,73.0,55.0
124,2024-05-04,0.29,76.0,62.0
125,2024-05-05,0.08,79.0,61.0
126,2024-05-06,0.3,75.0,59.0
127,2024-05-07,0.01,82.0,58.0
128,2024-05-08,0.32,83.0,62.0
129,2024-05-09,1.0,80.0,61.0
130,2024-05-10,0.0,77.0,52.0
